countryColumn,yearColumn,valueGdpColumn
AUS,2005,760939.706278785
AUS,2006,818234.256268764
AUS,2007,985138.983141616
AUS,2008,1057010.78194699
AUS,2009,1014835.56636346
AUS,2010,1299463.65621896
AUS,2011,1546689.24961551
AUS,2012,1590707.60953861
AUS,2013,1543216.49130225
AUS,2014,1464256.51477469
AUS,2015,1248853.94676543
AUT,2005,315966.559717455
AUT,2006,335981.275583617
AUT,2007,388671.229801899
AUT,2008,430310.045043395
AUT,2009,400148.393469131
AUT,2010,391892.721625863
AUT,2011,431120.462080614
AUT,2012,409425.024476612
AUT,2013,430068.816810262
AUT,2014,441995.977344703
AUT,2015,381805.660454784
BEL,2005,387356.116002587
BEL,2006,409792.119587375
BEL,2007,471796.566836108
BEL,2008,518644.88958875
BEL,2009,484523.847561204
BEL,2010,483548.000450304
BEL,2011,527008.639684162
BEL,2012,497883.96158778
BEL,2013,520925.594728338
BEL,2014,530808.206110668
BEL,2015,455940.327773582
CAN,2005,1169393.68506878
CAN,2006,1315458.10291767
CAN,2007,1464978.55411838
CAN,2008,1549073.13690208
CAN,2009,1371151.80548351
CAN,2010,1613464.08286844
CAN,2011,1788647.3490977
CAN,2012,1824289.32293022
CAN,2013,1842627.23624171
CAN,2014,1799268.60469847
CAN,2015,1552521.38616431
CZE,2005,136280.593187488
CZE,2006,155463.924077551
CZE,2007,189227.358466067
CZE,2008,235719.042551615
CZE,2009,206179.982164402
CZE,2010,207477.857918919
CZE,2011,227948.345372551
CZE,2012,207376.427020815
CZE,2013,209402.448562723
CZE,2014,207818.330723835
CZE,2015,186829.940545759
DNK,2005,264466.867103225
DNK,2006,282885.95942206
DNK,2007,319423.311456673
DNK,2008,353358.907411363
DNK,2009,321243.373506562
DNK,2010,321995.350346501
DNK,2011,344003.179906093
DNK,2012,327148.873814928
DNK,2013,343584.366395599
DNK,2014,352993.612256428
DNK,2015,302673.030409011
FIN,2005,204430.93070686
FIN,2006,216541.364702104
FIN,2007,255371.332999379
FIN,2008,283752.883875929
FIN,2009,251484.004150905
FIN,2010,247799.80001192
FIN,2011,273674.333256876
FIN,2012,256706.334624191
FIN,2013,269980.176828532
FIN,2014,272609.193465573
FIN,2015,232850.778398485
FRA,2005,2196071.48186838
FRA,2006,2318474.39787942
FRA,2007,2657075.04947731
FRA,2008,2918489.76452924
FRA,2009,2690061.58287293
FRA,2010,2642609.38089783
FRA,2011,2861409.17905624
FRA,2012,2683823.85062714
FRA,2013,2811078.40442722
FRA,2014,2852164.76435227
FRA,2015,2438207.79252467
DEU,2005,2861339.10361638
DEU,2006,3002291.94082352
DEU,2007,3439774.55319871
DEU,2008,3752503.02120335
DEU,2009,3417800.82601345
DEU,2010,3417094.34537014
DEU,2011,3757699.60589695
DEU,2012,3543982.09417007
DEU,2013,3752514.40930799
DEU,2014,3898725.14199363
DEU,2015,3381389.19480646
GRC,2005,247776.839029001
GRC,2006,273303.679273805
GRC,2007,318481.372033757
GRC,2008,354473.78313253
GRC,2009,329980.539506531
GRC,2010,299361.557523062
GRC,2011,287797.923556519
GRC,2012,245670.540823905
GRC,2013,239862.069363839
GRC,2014,237029.496464919
GRC,2015,196591.345397761
IRL,2005,211643.770581505
IRL,2006,232071.530632598
IRL,2007,269903.905217084
IRL,2008,275048.968103417
IRL,2009,236302.289527022
IRL,2010,222134.027905622
IRL,2011,237907.798513947
IRL,2012,225128.536003104
IRL,2013,238890.335772393
IRL,2014,259101.521232376
IRL,2015,291092.477422174
KOR,2005,898137.223656765
KOR,2006,1011797.4401832
KOR,2007,1122679.20054199
KOR,2008,1002219.08297827
KOR,2009,901934.953364711
KOR,2010,1094499.3500637
KOR,2011,1202463.6555096
KOR,2012,1222807.25626178
KOR,2013,1305604.96099952
KOR,2014,1411333.88196976
KOR,2015,1382764.02711382
NZL,2005,114722.310429051
NZL,2006,111612.029653917
NZL,2007,137318.61024859
NZL,2008,133277.853024509
NZL,2009,121340.365312263
NZL,2010,146583.813337906
NZL,2011,168461.958380833
NZL,2012,176193.647491177
NZL,2013,190784.38061748
NZL,2014,200834.057139634
NZL,2015,177208.110322704
POL,2005,306126.782307309
POL,2006,344753.312593171
POL,2007,429055.799418342
POL,2008,533806.483532995
POL,2009,439790.240315986
POL,2010,479321.460551189
POL,2011,528823.618356392
POL,2012,500354.363616376
POL,2013,524231.502899592
POL,2014,545381.86525968
POL,2015,477577.397532829
PRT,2005,197299.605780232
PRT,2006,208556.221546753
PRT,2007,240156.845113449
PRT,2008,262017.185337093
PRT,2009,243731.188606404
PRT,2010,238303.428272487
PRT,2011,244895.188050406
PRT,2012,216368.067850966
PRT,2013,226073.547551048
PRT,2014,229629.741910576
PRT,2015,199420.247565876
ESP,2005,1157247.67447645
ESP,2006,1264486.458481
ESP,2007,1479264.69742882
ESP,2008,1635075.25542901
ESP,2009,1499010.20083546
ESP,2010,1431616.65860975
ESP,2011,1488067.78294444
ESP,2012,1336018.26559115
ESP,2013,1361854.53536371
ESP,2014,1376910.33007797
ESP,2015,1199084.13269318
SWE,2005,389488.655827417
SWE,2006,420537.989433536
SWE,2007,488399.960347815
SWE,2008,514585.048714941
SWE,2009,430113.254572652
SWE,2010,488909.090000949
SWE,2011,563797.452330723
SWE,2012,544481.518567631
SWE,2013,579360.642016883
SWE,2014,574413.13202498
SWE,2015,498117.629010434
CHE,2005,408696.903010576
CHE,2006,430906.414120428
CHE,2007,479926.627711881
CHE,2008,554368.605471383
CHE,2009,541485.599397873
CHE,2010,583782.779560191
CHE,2011,699579.660871896
CHE,2012,668043.956599451
CHE,2013,688503.837506365
CHE,2014,709182.596537034
CHE,2015,679832.523397698
GBR,2005,2525014.63641686
GBR,2006,2697216.30876176
GBR,2007,3084290.43643902
GBR,2008,2904218.27834828
GBR,2009,2394714.90951351
GBR,2010,2452900.97484622
GBR,2011,2634894.99968757
GBR,2012,2676605.37053331
GBR,2013,2753563.21551572
GBR,2014,3034727.59284551
GBR,2015,2896422.7058491
CHL,2005,122964.812051432
CHL,2006,154788.024798454
CHL,2007,173605.979144595
CHL,2008,179638.483892606
CHL,2009,172389.49998377
CHL,2010,218537.565393027
CHL,2011,252251.992122688
CHL,2012,267122.318415563
CHL,2013,278384.345124588
CHL,2014,260541.630062712
CHL,2015,243919.085388698
COL,2005,145180.961672817
COL,2006,161189.825120732
COL,2007,205706.857039443
COL,2008,241710.968384743
COL,2009,232494.133806152
COL,2010,286103.643237661
COL,2011,334454.044531607
COL,2012,370574.419226571
COL,2013,381866.603343681
COL,2014,381112.110518892
COL,2015,293481.753057428
EST,2005,14003.4586217487
EST,2006,16972.3549937868
EST,2007,22232.3146166436
EST,2008,24165.7567896954
EST,2009,19661.2060638154
EST,2010,19502.5584585109
EST,2011,23170.2480694511
EST,2012,23043.8527086165
EST,2013,25137.1592187041
EST,2014,26615.8453082068
EST,2015,22904.4558974069
IND,2005,812085.792774259
IND,2006,919148.386805856
IND,2007,1169511.8943446
IND,2008,1254844.30221107
IND,2009,1297640.2444924
IND,2010,1650689.42907783
IND,2011,1871917.99717153
IND,2012,1860877.24717146
IND,2013,1917053.70933692
IND,2014,2042939.30516307
IND,2015,2145537.04995752
ZAF,2005,257771.631373629
ZAF,2006,271636.664520924
ZAF,2007,299416.846962507
ZAF,2008,286769.051870407
ZAF,2009,295937.379228892
ZAF,2010,375348.314939774
ZAF,2011,416417.039794897
ZAF,2012,396329.371645618
ZAF,2013,366644.894032722
ZAF,2014,350637.629719398
ZAF,2015,317415.635839711
HUN,2005,113035.361316749
HUN,2006,115295.199391606
HUN,2007,139850.769254237
HUN,2008,157998.392838049
HUN,2009,130593.981910804
HUN,2010,130922.638479203
HUN,2011,140782.064609187
HUN,2012,127856.646918491
HUN,2013,135220.881110441
HUN,2014,140082.504223841
HUN,2015,123074.092703141
USA,2005,13036640.229
USA,2006,13814611.414
USA,2007,14451858.65
USA,2008,14712844.084
USA,2009,14448933.025
USA,2010,14992052.727
USA,2011,15542581.104
USA,2012,16197007.349
USA,2013,16784849.19
USA,2014,17521746.534
USA,2015,18219297.584
MDG,2005,0
MDG,2006,0
MDG,2007,0
MDG,2008,0
MDG,2009,0
MDG,2010,0
MDG,2011,0
MDG,2012,0
MDG,2013,0
ARG,2005,200622.17137831
ARG,2006,234391.259736641
ARG,2007,289755.128601466
ARG,2008,365644.325599961
ARG,2009,336359.374271416
ARG,2010,426487.451797156
ARG,2011,530158.122107763
ARG,2012,581430.950505341
ARG,2013,613315.989641996
ARG,2014,567050.144787621
ARG,2015,644903.167335739
RUS,2005,822924.889082132
RUS,2006,1066260.08932822
RUS,2007,1399916.20329586
RUS,2008,1788906.58263481
RUS,2009,1316917.15414174
RUS,2010,1642494.34859456
RUS,2011,2051658.86918268
RUS,2012,2210254.75528708
RUS,2013,2297124.86427803
RUS,2014,2063662.28886097
RUS,2015,1365865.24751119
ISL,2005,16812.5387328983
ISL,2006,17216.4174422913
ISL,2007,21514.9629365389
ISL,2008,17905.248371033
ISL,2009,13164.6549173108
ISL,2010,13683.6898252432
ISL,2011,15158.5485663113
ISL,2012,14724.0782658608
ISL,2013,16033.5175713042
ISL,2014,17758.0892374943
ISL,2015,17344.1659639359
ITA,2005,1852615.90309904
ITA,2006,1942533.88045528
ITA,2007,2202938.80143108
ITA,2008,2390816.71366316
ITA,2009,2185029.65229918
ITA,2010,2125058.10911932
ITA,2011,2276293.20710915
ITA,2012,2072822.09550633
ITA,2013,2130491.8350574
ITA,2014,2151732.11663047
ITA,2015,1832272.95463141
SVN,2005,36344.8948325304
SVN,2006,39585.3979253513
SVN,2007,48112.185788311
SVN,2008,55591.8848646867
SVN,2009,50241.7924464084
SVN,2010,48013.6036924952
SVN,2011,51290.8101007152
SVN,2012,46352.7790269487
SVN,2013,48116.2685435612
SVN,2014,49889.5357892935
SVN,2015,43102.0424572926
CHN,2005,2285961.11182909
CHN,2006,2752117.71885603
CHN,2007,3550327.49122843
CHN,2008,4594336.60183158
CHN,2009,5101690.48408119
CHN,2010,6087192.39959299
CHN,2011,7551546.00484318
CHN,2012,8532186.11882485
CHN,2013,9570470.63490859
CHN,2014,10438471.3826176
CHN,2015,11015561.8099044
IDN,2005,312796.695204757
IDN,2006,398912.104361813
IDN,2007,472930.42366228
IDN,2008,558290.837808683
IDN,2009,578576.62762649
IDN,2010,755094.157621936
IDN,2011,892969.104563171
IDN,2012,917869.913332649
IDN,2013,912524.136718018
IDN,2014,890814.755533537
IDN,2015,860854.232686214
TUR,2005,501422.646014426
TUR,2006,552505.091172058
TUR,2007,675754.034557471
TUR,2008,764322.737533442
TUR,2009,644656.538878423
TUR,2010,771876.60104242
TUR,2011,832546.048102785
TUR,2012,873981.759475635
TUR,2013,950595.391350207
TUR,2014,934167.987637432
TUR,2015,859794.027887408
LVA,2005,16922.1038954897
LVA,2006,21447.3174322696
LVA,2007,30903.0900336498
LVA,2008,35593.9354518081
LVA,2009,26172.2915534252
LVA,2010,23765.1411370989
LVA,2011,28467.4946823502
LVA,2012,28125.7998311343
LVA,2013,30250.7885765264
LVA,2014,31335.0028060409
LVA,2015,26972.8622461485
ISR,2005,142411.275954275
ISR,2006,153982.286287919
ISR,2007,178744.142876373
ISR,2008,215959.62267222
ISR,2009,207449.932648159
ISR,2010,233732.926323391
ISR,2011,261716.903079794
ISR,2012,257434.990334348
ISR,2013,292917.037918354
ISR,2014,310007.879343474
ISR,2015,300470.816163185
LUX,2005,37346.4657016366
LUX,2006,42412.1265873917
LUX,2007,50885.4877518005
LUX,2008,55851.7317903834
LUX,2009,51367.4745743169
LUX,2010,53212.473428736
LUX,2011,60004.6513890916
LUX,2012,56677.9327606277
LUX,2013,61739.367119028
LUX,2014,66103.8301462989
LUX,2015,57204.3976714035
SVK,2005,48964.8985982166
SVK,2006,57085.0879720178
SVK,2007,76922.9329683226
SVK,2008,96593.7348833471
SVK,2009,88940.3119846967
SVK,2010,89501.007224735
SVK,2011,98181.2943539699
SVK,2012,93413.945115856
SVK,2013,98478.3730925343
SVK,2014,100948.201679379
SVK,2015,87769.5913865441
JPN,2005,4755410.11316714
JPN,2006,4530376.75751685
JPN,2007,4515263.40242423
JPN,2008,5037908.75756416
JPN,2009,5231383.28958948
JPN,2010,5700098.11474441
JPN,2011,6157459.58187638
JPN,2012,6203213.15375379
JPN,2013,5155717.07093773
JPN,2014,4850413.53759559
JPN,2015,4389475.61113012
NLD,2005,685075.610605382
NLD,2006,733303.142104094
NLD,2007,847437.445082243
NLD,2008,948032.372651701
NLD,2009,868025.388869517
NLD,2010,846554.841102186
NLD,2011,904086.29953222
NLD,2012,838970.877329133
NLD,2013,876923.73058013
NLD,2014,890980.999852733
NLD,2015,765264.917224805
PER,2005,96998.8852620969
PER,2006,107732.267817704
PER,2007,116348.390128659
PER,2008,142519.10130187
PER,2009,157080.43943433
PER,2010,179861.422060971
PER,2011,197403.870592934
PER,2012,216402.422518166
MKD,2005,6258.60702415442
MKD,2006,6861.23000423325
MKD,2007,8336.48026550165
MKD,2008,9909.55513349043
MKD,2009,9401.73458055819
MKD,2010,9407.15969438313
MKD,2011,10494.6342714611
MKD,2012,9745.25513021962
MKD,2013,10817.7023460674
MKD,2014,11362.265252778
MKD,2015,10064.5130392625
NOR,2005,308722.079937912
NOR,2006,345422.886976242
NOR,2007,401084.87909668
NOR,2008,462554.432624114
NOR,2009,386620.428657325
NOR,2010,429130.929042828
NOR,2011,498831.586228972
NOR,2012,510229.136226902
NOR,2013,523502.127659574
NOR,2014,499338.50836612
NOR,2015,386663.123419939
HRV,2005,45346.8994427353
HRV,2006,50387.2368204902
HRV,2007,60110.2959323975
HRV,2008,70465.4630762871
HRV,2009,62712.0473979106
HRV,2010,59865.8574164366
HRV,2011,62399.8285512185
HRV,2012,56548.4518721459
HRV,2013,58158.084534644
HRV,2014,57682.6949295993
HRV,2015,49518.9779280708
CYP,2005,18693.5082329439
CYP,2006,20405.481925867
CYP,2007,24051.7911542445
CYP,2008,27840.736807412
CYP,2009,25941.1149375628
CYP,2010,25560.7453860366
CYP,2011,27428.7034913221
CYP,2012,25041.5845426022
CYP,2013,24085.8689864955
CYP,2014,23363.7425022986
CYP,2015,19681.5203974008
LTU,2005,26141.4123246699
LTU,2006,30208.516633442
LTU,2007,39731.601636839
LTU,2008,47895.6921201894
LTU,2009,37439.3203748544
LTU,2010,37130.3014124735
LTU,2011,43524.0215370399
LTU,2012,42864.144914422
LTU,2013,46408.4169206589
LTU,2014,48557.1986078819
LTU,2015,41516.7001050286
BGR,2005,29636.0091555161
BGR,2006,34130.8480202557
BGR,2007,44409.9072810608
BGR,2008,54412.489707333
BGR,2009,51884.7636867203
BGR,2010,50610.3018020945
BGR,2011,57420.1056839237
BGR,2012,53901.2575145363
BGR,2013,55556.4083614793
BGR,2014,56815.2251111294
BGR,2015,50201.2978916346
MAR,2005,0
MAR,2006,0
MAR,2007,0
MAR,2008,0
MAR,2009,0
MAR,2010,0
MAR,2011,0
MAR,2012,0
MAR,2013,0
MEX,2005,877476.86552592
MEX,2006,975383.373082275
MEX,2007,1052697.05290683
MEX,2008,1109987.36814242
MEX,2009,900047.015737995
MEX,2010,1057800.62587805
MEX,2011,1180487.22640678
MEX,2012,1201093.81752841
MEX,2013,1274443.88299022
MEX,2014,1314568.91220204
MEX,2015,1170567.05733188
BRA,2005,891633.839853105
BRA,2006,1107626.54171074
BRA,2007,1397114.48647138
BRA,2008,1695855.08355205
BRA,2009,1666996.43868146
BRA,2010,2208837.74521423
BRA,2011,2616156.22397747
BRA,2012,2465227.80301157
BRA,2013,2472819.53574273
BRA,2014,2456043.72719885
BRA,2015,1802212.20690468
CRI,2005,19952.1547773549
CRI,2006,22600.4310872605
CRI,2007,26743.8747236132
CRI,2008,30612.9321268365
CRI,2009,30562.3634220176
CRI,2010,37268.6352240069
CRI,2011,42262.6945065366
CRI,2012,46473.1317971392
CRI,2013,49745.0848269877
CRI,2014,50577.7698377462
CRI,2015,54775.9975525556
MLT,2005,6393.14565240333
MLT,2006,6782.96659358318
MLT,2007,7930.34268264631
MLT,2008,8977.44431830666
MLT,2009,8527.72493446488
MLT,2010,8740.54844413247
MLT,2011,9497.30216652418
MLT,2012,9209.66948222651
MLT,2013,10149.8591930788
MLT,2014,11286.187512521
MLT,2015,10709.7984936656
ROU,2005,98454.3801200761
ROU,2006,122023.735992706
ROU,2007,174588.782938583
ROU,2008,214317.202478266
ROU,2009,174102.26853484
ROU,2010,166225.180150414
ROU,2011,183442.672852659
ROU,2012,171196.268957961
ROU,2013,190948.091553966
ROU,2014,199628.296520785
ROU,2015,177894.917375808
HKG,2005,0
HKG,2006,0
HKG,2007,0
HKG,2008,0
HKG,2009,0
HKG,2010,0
ZMB,2005,0
ZMB,2006,0
ZMB,2007,0
ZMB,2008,0
ZMB,2009,0
ZMB,2010,0
ZMB,2011,0
ZMB,2012,0
ZMB,2013,0
ZMB,2014,0
CPV,2005,0
CPV,2006,0
CPV,2007,0
CPV,2008,0
CPV,2009,0
CPV,2010,0
CPV,2011,0
CPV,2012,0
CPV,2013,0
